location-name,word,state,lat,lon,count
Stansbury,fritz,SA,-34.9089736,137.7971686,3
Strathalbyn,fritz,SA,-35.258875,138.8903478,2
Swan Hill,Strasburg,VIC,-35.3405225,143.5614347,1
Sydney,devon,NSW,-33.8674869,151.2069902,13
Tabbita,devon,NSW,-34.1037422,145.8457925,1
Tailem Bend,fritz,SA,-35.2539454,139.4538816,2
Tallangatta,Strasburg,VIC,-36.2166539,147.1781512,1
Tallangatta,devon,VIC,-36.2166539,147.1781512,1
Tamworth,devon,NSW,-31.1063157,150.9307341,1
Tantanoola,fritz,SA,-37.6960541,140.4559198,3
Tanunda,fritz,SA,-34.5234581,138.9615097,2
Taree,devon,NSW,-31.9115673,152.460695,1
Tathra,devon,NSW,-36.7286521,149.9870491,2
Temora,devon,NSW,-34.4469495,147.5337637,1
The Rock,devon,NSW,-35.2685446,147.1147194,2
Thirlmere,devon,NSW,-34.2039629,150.5707408,2
Toowoomba,Strasburg,QLD,-27.56433,151.9539874,1
Toowoomba,luncheon sausage,QLD,-27.56433,151.9539874,1
Tullibigeal,devon,NSW,-33.4212018,146.7274614,1
Tumbarumba,devon,NSW,-35.7772429,148.0113753,2
Tumut,devon,NSW,-35.3010668,148.2239419,2
Tyrendarra,fritz,VIC,-38.2184054,141.7811414,1
Uarbry,devon,NSW,-32.0472601,149.7647298,1
Underbool,Strasburg,VIC,-35.1696523,141.8076162,1
Underbool,polony,VIC,-35.1696523,141.8076162,1
Ungarie,devon,NSW,-33.637948,146.9702852,1
Victor Harbour,fritz,SA,-35.5532268,138.6229492,1
Wagga Wagga,devon,NSW,-35.1250948,147.349649,3
Walla Walla,devon,NSW,-35.7625701,146.9016474,1
Wallaroo,fritz,SA,-33.931984,137.6284649,5
Warooka,fritz,SA,-34.9905757,137.4010283,3
Weering,German sausage,VIC,-38.0908331,143.6944685,1
Weethalle,devon,NSW,-33.875718,146.6196632,2
Wellington,devon,NSW,-32.5556186,148.9427754,1
Wentworth,fritz,NSW,-34.1064847,141.9221664,1
Wentworth,polony,NSW,-34.1064847,141.9221664,3
Werris Creek,devon,NSW,-31.3490857,150.6471759,1
West Wyalong,devon,NSW,-33.9235028,147.2052839,3
Wodonga,devon,VIC,-36.122487,146.8878851,1
Wollongong,devon,NSW,-34.4250728,150.8931494,2
Yass,devon,NSW,-34.8424907,148.9116111,1
Yenda,devon,NSW,-34.2501802,146.1985376,1
Yorketown,fritz,SA,-35.0190402,137.604941,2
