location-name,word,state,lat,lon,location-code,code,count
Robe,slippery dip,SA,-37.162485600000004,139.75489230000002,2,2,2
Robinvale,slide,VIC,-34.5843257,142.772128,4,4,4
Rochester,slide,VIC,-36.36187329999999,144.69939540000001,3,3,3
Rockhampton,slide,QLD,-23.3779152,150.51010259999998,1,1,1
Rockhampton,slippery slide,QLD,-23.3779152,150.51010259999998,1,1,1
Sea Lake,slide,VIC,-35.504172600000004,142.8501194,2,2,2
Sheffield,slide,TAS,-41.3821709,146.3247692,2,2,2
Stansbury,slippery dip,SA,-34.9089736,137.7971686,4,4,4
Stansbury,slippery slide,SA,-34.9089736,137.7971686,1,1,1
Strathalbyn,slippery dip,SA,-35.258875,138.8903478,3,3,3
Swan Hill,slide,VIC,-35.3405225,143.56143469999998,1,1,1
Sydney,slide,NSW,-33.8674869,151.20699019999998,2,2,2
Sydney,slippery dip,NSW,-33.8674869,151.20699019999998,11,11,11
Sydney,slippery slide,NSW,-33.8674869,151.20699019999998,2,2,2
Tabbita,slippery dip,NSW,-34.1037422,145.84579250000002,2,2,2
Tailem Bend,slide,SA,-35.2539454,139.4538816,1,1,1
Tailem Bend,slippery dip,SA,-35.2539454,139.4538816,1,1,1
Tallangatta,slide,VIC,-36.2166539,147.17815119999997,2,2,2
Tamworth,slide,NSW,-31.1063157,150.9307341,1,1,1
Tantanoola,slippery dip,SA,-37.696054100000005,140.4559198,3,3,3
Tanunda,slippery dip,SA,-34.5234581,138.9615097,2,2,2
Taree,slippery dip,NSW,-31.9115673,152.460695,1,1,1
Tathra,slippery dip,NSW,-36.7286521,149.98704909999998,2,2,2
Temora,slippery dip,NSW,-34.4469495,147.53376369999998,1,1,1
The Rock,slippery dip,NSW,-35.2685446,147.1147194,2,2,2
Thirlmere,slide,NSW,-34.20396289999999,150.5707408,1,1,1
Thirlmere,slippery dip,NSW,-34.20396289999999,150.5707408,1,1,1
Tooleybuc,slide,NSW,-35.0296911,143.3364672,1,1,1
Toowoomba,slippery slide,QLD,-27.564329999999998,151.95398740000002,2,2,2
