location-name,word,state,lat,lon,count
Redbank Plains,rubbish bin,QLD,-27.64667,152.8691863,1
Renmark,rubbish bin,SA,-34.1705702,140.7501095,3
Robinvale,garbage bin,VIC,-34.5843257,142.772128,1
Robinvale,rubbish bin,VIC,-34.5843257,142.772128,2
Rochester,rubbish bin,VIC,-36.3618733,144.6993954,2
Rockhampton,dust bin,QLD,-23.3779152,150.5101026,1
Rockhampton,garbage bin,QLD,-23.3779152,150.5101026,1
Sea Lake,rubbish bin,VIC,-35.5041726,142.8501194,1
Sheffield,garbage bin,TAS,-41.3821709,146.3247692,1
Sheffield,rubbish bin,TAS,-41.3821709,146.3247692,1
Stansbury,garbage bin,SA,-34.9089736,137.7971686,1
Stansbury,rubbish bin,SA,-34.9089736,137.7971686,2
Strathalbyn,garbage bin,SA,-35.258875,138.8903478,1
Strathalbyn,rubbish bin,SA,-35.258875,138.8903478,1
Swan Hill,rubbish bin,VIC,-35.3405225,143.5614347,1
Sydney,garbage bin,NSW,-33.8674869,151.2069902,12
Sydney,rubbish bin,NSW,-33.8674869,151.2069902,1
Tabbita,garbage bin,NSW,-34.1037422,145.8457925,2
Tailem Bend,rubbish bin,SA,-35.2539454,139.4538816,2
Tallangatta,garbage bin,VIC,-36.2166539,147.1781512,1
Tallangatta,rubbish bin,VIC,-36.2166539,147.1781512,1
Tamworth,garbage bin,NSW,-31.1063157,150.9307341,1
Tantanoola,garbage bin,SA,-37.6960541,140.4559198,1
Tantanoola,rubbish bin,SA,-37.6960541,140.4559198,2
Tanunda,rubbish bin,SA,-34.5234581,138.9615097,2
Tathra,garbage bin,NSW,-36.7286521,149.9870491,2
Temora,garbage bin,NSW,-34.4469495,147.5337637,1
The Rock,garbage bin,NSW,-35.2685446,147.1147194,2
Thirlmere,garbage bin,NSW,-34.2039629,150.5707408,2
Toowoomba,rubbish bin,QLD,-27.56433,151.9539874,2
Tullibigeal,garbage bin,NSW,-33.4212018,146.7274614,1
Tumbarumba,garbage bin,NSW,-35.7772429,148.0113753,2
Tumut,garbage bin,NSW,-35.3010668,148.2239419,2
Tyrendarra,rubbish bin,VIC,-38.2184054,141.7811414,1
Underbool,garbage bin,VIC,-35.1696523,141.8076162,1
Underbool,rubbish bin,VIC,-35.1696523,141.8076162,1
Ungarie,garbage bin,NSW,-33.637948,146.9702852,1
Victor Harbour,garbage bin,SA,-35.5532268,138.6229492,2
Victor Harbour,rubbish bin,SA,-35.5532268,138.6229492,1
Wagga Wagga,garbage bin,NSW,-35.1250948,147.349649,2
Walla Walla,rubbish bin,NSW,-35.7625701,146.9016474,1
Wallaroo,garbage bin,SA,-33.931984,137.6284649,1
Wallaroo,rubbish bin,SA,-33.931984,137.6284649,4
Warooka,garbage bin,SA,-34.9905757,137.4010283,1
Warooka,rubbish bin,SA,-34.9905757,137.4010283,2
Warwick,rubbish bin,QLD,-28.2143733,152.0351449,1
Weering,rubbish bin,VIC,-38.0908331,143.6944685,1
Weethalle,garbage bin,NSW,-33.875718,146.6196632,2
Wellington,garbage bin,NSW,-32.5556186,148.9427754,1
Wentworth,garbage bin,NSW,-34.1064847,141.9221664,1
Wentworth,rubbish bin,NSW,-34.1064847,141.9221664,1
Werris Creek,garbage bin,NSW,-31.3490857,150.6471759,1
West Wyalong,garbage bin,NSW,-33.9235028,147.2052839,1
Wodonga,garbage bin,VIC,-36.122487,146.8878851,1
Wodonga,rubbish bin,VIC,-36.122487,146.8878851,1
Wollongong,garbage bin,NSW,-34.4250728,150.8931494,2
Yorketown,garbage bin,SA,-35.0190402,137.604941,1
Yorketown,rubbish bin,SA,-35.0190402,137.604941,2
